Wavelength,Excitation,Emission
411,3.241333628,31.34325
412,2.879222786,33.74044
413,2.495032016,35.68919
414,2.132921175,37.63519
415,1.810554206,39.88427
416,1.558843012,41.86127
417,1.338043718,44.49955
418,1.103996467,46.20789
419,0.918525061,48.60853
420,0.759549569,50.91616
421,0.675645838,53.22725
422,0.587326121,55.47978
423,0.529918304,57.34656
424,0.48134246,58.7587
425,0.35327887,61.18689
426,0.33119894,62.79879
427,0.251711195,64.87566
428,0.216383308,67.10064
429,0.154559505,69.64938
430,0.132479576,71.31638
431,0.105983661,73.77557
432,0.035327887,75.06372
433,0.004415986,77.14404
434,-0.030470302,79.04526
435,-0.013247958,80.80182
436,-0.017663943,82.08997
437,-0.079487746,83.72942
438,-0.013247958,84.78336
439,-0.114815633,85.69263
440,-0.097151689,86.97734
441,-0.119231618,89.6604
442,-0.079487746,91.28952
443,-0.030470302,91.32052
444,-0.145727534,92.74299
445,-0.132479576,94.37211
446,-0.123647604,94.37211
447,-0.132479576,95.08163
448,-0.15014352,95.85313
449,-0.198719364,96.62121
450,-0.189887392,96.325
451,0,97.00696
452,0,97.48226
453,0,97.80602
454,0,99.27327
455,0,98.82552
456,0,99.30427
457,0,99.57291
458,0,98.79452
459,0,99.32493
460,0,99.41104
461,0,100
462,0,99.13206
463,0,99.88978
464,0,99.81401
465,0,98.8324
466,0,99.10449
467,0,97.98512
468,0,98.16422
469,0,97.15851
470,0,96.98285
471,0,96.13213
472,0,95.28139
473,0,94.26534
474,0,93.05641
475,0,92.40201
476,0,91.38596
477,0,90.76599
478,0,91.12765
479,0,90.10126
480,0,89.37453
481,0,87.25632
482,0,86.56403
483,0,84.15651
484,0,83.4711
485,0,82.38961
486,0,81.63532
487,0,80.26108
488,0,79.11758
489,0,78.23586
490,0,78.06709
491,0,77.07516
492,0,75.09128
493,0,73.96501
494,0,73.07295
495,0,71.98112
496,0,70.69298
497,0,69.10519
498,0,68.62299
499,0,67.58627
500,0,66.75277
501,0,64.81367
502,0,64.67245
503,0,63.25343
504,0,61.80341
505,0,60.99401
506,0,61.0009
507,0,59.296
508,0,58.06985
509,0,57.51877
510,0,55.79665
511,0,55.03892
512,0,53.83344
513,0,53.08604
514,0,51.90122
515,0,51.06771
516,0,50.23765
517,0,48.79796
518,0,48.07123
519,0,47.25494
520,0,45.87036
521,0,45.38472
522,0,44.34456
523,0,42.91176
524,0,42.12992
525,0,41.40663
526,0,40.81766
527,0,39.7224
528,0,39.13687
529,0,38.17937
530,0,37.25977
531,0,36.78791
532,0,35.56175
533,0,34.76269
534,0,33.82552
535,0,33.1873
536,0,32.35517
537,0,31.67321
538,0,31.27299
539,0,30.24075
540,0,29.93456
541,0,29.04732
542,0,28.68396
543,0,27.5942
544,0,27.09237
545,0,26.54268
546,0,25.82489
547,0,24.99311
548,0,24.81091
549,0,23.77213
550,0,23.49349
551,0,23.00992
552,0,22.51567
553,0,22.02797
554,0,21.31294
555,0,20.82111
556,0,20.33478
557,0,19.96246
558,0,19.2123
559,0,18.95089
560,0,18.36261
561,0,18.00475
562,0,17.58111
563,0,17.08342
564,0,16.82717
565,0,16.31708
566,0,15.84349
567,0,15.75325
568,0,15.14569
569,0,14.87222
570,0,14.39106
571,0,13.93125
572,0,13.40222
573,0,13.18179
574,0,12.92933
575,0,12.44059
576,0,12.4027
577,0,11.99972
578,0,11.6863
579,0,11.27988
580,0,10.96404
581,0,10.82042
582,0,10.32031
583,0,9.911139
584,0,9.592892
585,0,9.619757
586,0,9.161673
587,0,9.024247
588,0,8.657781
589,0,8.353654
590,0,8.215196
591,0,8.076737
592,0,7.753668
593,0,7.569057
594,0,7.061376
595,0,7.253564
596,0,6.881587
597,0,6.742095
598,0,6.509609
599,0,6.323621
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
