Wavelength,Excitation,Emission
516,38.62317205,0
517,39.26941665,0
518,39.8459164,0
519,41.08251234,0
520,41.41883812,0
521,41.88641864,0
522,42.65295508,0
523,43.0836272,0
524,43.85401824,0
525,44.66438696,0
526,44.96062898,0
527,45.68256386,0
528,46.91146815,0
529,47.22042042,0
530,47.89902812,0
531,49.37394662,0
532,50.68477376,0
533,51.95472654,0
534,53.94298708,0
535,55.29039678,0
536,57.59761343,0
537,59.32215631,0
538,62.07313002,0
539,64.57512207,0
540,67.42090198,0
541,70.36065053,0
542,72.49746898,0
543,76.47038919,0
544,80.27462566,0
545,83.07752115,8.541561633
546,85.81356481,8.138430849
547,87.74917143,8.717233216
548,91.29025818,9.586787044
549,93.71056876,10.82789325
550,96.12857859,12.56832953
551,97.75810077,14.39518522
552,99.43274074,16.63824654
553,99.88786742,19.2269287
554,99.98803252,22.21983907
555,100,25.16844171
556,98.52777469,28.41206868
557,95.56537493,31.5700264
558,94.18899207,35.33196943
559,90.92435504,39.88900568
560,88.00156748,43.62557496
561,83.51799838,47.69865895
562,79.57837538,51.73233977
563,74.66260769,55.68668678
564,70.0361406,59.86129296
565,65.36727358,64.12077564
566,60.62248512,67.89626608
567,56.04405965,70.87334868
568,51.66918618,74.27131337
569,47.2274117,77.39137715
570,43.03535884,80.31880114
571,38.29797732,83.13127112
572,35.07755932,86.09271141
573,30.96434744,88.34285377
574,26.99705576,90.60844279
575,24.94926052,92.07426341
576,22.00990401,93.81634511
577,19.32061416,94.14931723
578,17.66076269,95.66170362
579,16.13167465,96.82247089
580,14.50156798,97.46497242
581,12.90445699,98.83951872
582,11.71714208,99.17393933
583,10.68320356,100
584,9.530447822,99.91354662
585,8.560016584,99.55548203
586,7.643072018,99.50933062
587,6.929078888,99.9093783
588,6.196024997,99.15345021
589,5.87721837,98.4628109
590,5.350837365,98.29489826
591,0,97.19292213
592,0,96.77133089
593,0,95.49581604
594,0,95.23911154
595,0,94.67922095
596,0,93.76740394
597,0,93.32520062
598,0,92.25751053
599,0,91.26712856
600,0,90.15879659
601,0,89.36374136
602,0,87.95973135
603,0,86.39884278
604,0,85.28770106
